category,product_name,size,size_ml
WHISKY,BLACK DOG,750,750
WHISKY,BLACK DOG TRIPLE GOLD,60,60
WHISKY,BLACK DOG TRIPLE GOLD,180,180
WHISKY,BLACK DOG TRIPLE GOLD,750,750
WHISKY,BLENDORS PRIDE WHISKY,60,60
WHISKY,BLENDORS PRIDE WHISKY,180,180
WHISKY,BLENDORS PRIDE WHISKY,750,750
WHISKY,DK,90,90
WHISKY,DK,180,180
WHISKY,DSP BLACK,90,90
WHISKY,DSP BLACK,180,180
WHISKY,DSP BLACK,375,375
WHISKY,DSP BLACK,750,750
WHISKY,GOLD CUP,90,90
WHISKY,GOLD CUP,180,180
WHISKY,GOLDEN TOUCH WHISKY,750,750
WHISKY,HAYWARDS,90,90
WHISKY,HAYWARDS,180,180
WHISKY,HAYWARDS,375,375
WHISKY,HAYWARDS,750,750
WHISKY,IMPERIAL BLUE,90,90
WHISKY,IMPERIAL BLUE,180,180
WHISKY,IMPERIAL BLUE,375,375
WHISKY,IMPERIAL BLUE,750,750
WHISKY,KERALA MALT WHISKY,90,90
WHISKY,KERALA MALT WHISKY,180,180
WHISKY,MAGIC WHISKY,90,90
WHISKY,MAQUINTOSH,90,90
WHISKY,MAQUINTOSH,180,180
WHISKY,MC LUXURY,90,90
WHISKY,MC LUXURY,180,180
WHISKY,MC LUXURY,375,375
WHISKY,MC LUXURY,750,750
WHISKY,MC WHISKY,90,90
WHISKY,MC WHISKY,180,180
WHISKY,MC WHISKY,375,375
WHISKY,MC WHISKY,750,750
WHISKY,O.C.WHISKY,90,90
WHISKY,O.C.WHISKY,180,180
WHISKY,OLD GRAIN WHISKY,90,90
WHISKY,OLD GRAIN WHISKY,180,180
WHISKY,OLD TAVERN,90,90
WHISKY,OLD TAVERN,180,180
WHISKY,OLD TAVERN,375,375
WHISKY,OLD TAVERN,750,750
WHISKY,ORIGINAL CHOICE GOLD,90,90
WHISKY,ORIGINAL TRAVELLER,90,90
WHISKY,ORIGINAL TRAVELLER,180,180
WHISKY,ROYAL CHALLENGE,180,180
WHISKY,ROYAL CHALLENGE,375,375
WHISKY,ROYAL CHALLENGE,750,750
WHISKY,ROYAL RANTHAMBORE,60,60
WHISKY,ROYAL STAG,60,60
WHISKY,ROYAL STAG,90,90
WHISKY,ROYAL STAG,150,150
WHISKY,ROYAL STAG,180,180
WHISKY,ROYAL STAG,375,375
WHISKY,ROYAL STAG,750,750
WHISKY,ROYAL STAG DOUBLE BLAC,750,750
WHISKY,TEACHER'S WHISKY,60,60
WHISKY,VAT 69 WHISKY,60,60
WINE,GOANAS WINE,180,180
WINE,GOANAS WINE,750,750
WINE,LANGOOR WINE,750,750
WINE,MAJIC PORT WINE,180,180
WINE,MAJIC PORT WINE,750,750
WINE,RICO SPIN,180,180
WINE,RICO SPIN,750,750
